id,address_1,city,state_province,postal_code,country,latitude,longitude
1,0219 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.181204,35.022002
2,882 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.980111,35.191573
3,3203 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.711292,35.185215
4,7296 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.342562,34.287681
5,70103 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.548111,34.496682
6,6221 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.752573,35.262409
7,5207 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.314074,35.01233
8,21597 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.180398,35.026708
9,3062 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.718029,35.201022
10,463 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.903487,35.200721
11,97384 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.980044,35.182796
12,4186 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.5348,34.487614
13,2966 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.450788,35.098278
14,3970 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.531169,35.101461
15,2607 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.507823,34.477212
16,632 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.511379,35.06978
17,350 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.705753,35.225031
18,460 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.900259,35.200556
19,90068 Manger Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.715689,35.217501
20,757 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.867834,35.444843
21,704 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.309321,34.232216
22,417 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.315566,35.222591
23,6196 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.985843,35.184352
24,56117 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.900444,35.206207
25,627 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.3579,34.282435
26,47608 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.468527,35.083922
27,870 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.294981,34.232506
28,11402 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.42124,34.358898
29,19635 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.239726,35.266566
30,796 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.700006,35.22518
31,8313 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.452325,35.295607
32,9506 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.527914,34.471771
33,081 Al-Quds Street,Salfit,The State of Palestine,44837,The State of Palestine,32.10082,35.116854
34,4197 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.908572,35.201354
35,9866 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.991212,35.138605
36,2634 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.717459,35.184802
37,26800 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.751732,35.266091
38,1127 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.844142,35.12905
39,0792 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.712273,35.186848
40,3060 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.350537,34.287418
41,23136 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.425846,34.356404
42,153 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.553021,34.541189
43,02466 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.516592,35.069319
44,973 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.34208,34.294799
45,723 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.905744,35.200612
46,71318 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.350593,34.288376
47,135 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555383,34.547705
48,0768 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.348636,34.29337
49,856 Azzun Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.199259,34.596893
50,309 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.191862,34.592254
51,34411 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.902375,35.203953
52,330 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.338564,35.011357
53,1554 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.524613,35.150604
54,189 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.19339,34.595126
55,654 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.426696,34.356867
56,63079 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.714552,35.218659
57,97244 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.293489,34.232466
58,58308 Ariha Street,Jericho,The State of Palestine,90600,The State of Palestine,31.854189,35.444657
59,266 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.987416,35.186142
60,6085 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.854735,35.136619
61,289 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.184384,35.028901
62,1275 Al-Wehda Street,Halhul,The State of Palestine,90450,The State of Palestine,31.582494,35.116561
63,43553 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.354932,34.285053
64,16938 Sibat Street,Jenin,The State of Palestine,44843,The State of Palestine,32.462487,35.282934
65,3002 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.181034,35.023347
66,417 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.992848,35.143301
67,26119 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.847772,35.1386
68,859 Martyrs Street,Rafah,The State of Palestine,00800,The State of Palestine,31.298879,34.223796
69,2006 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.213489,35.250239
70,992 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.755323,35.262306
71,40190 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.294778,34.247073
72,83870 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.924491,35.21431
73,74762 Ariha Street,Jericho,The State of Palestine,90600,The State of Palestine,31.869742,35.448166
74,077 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.718395,35.18137
75,24827 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.977489,35.187857
76,757 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.534088,34.493081
77,0492 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.98677,35.131667
78,6157 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.425062,34.355171
79,043 Al-Quds Street,Tubas,The State of Palestine,44838,The State of Palestine,32.319365,35.224822
80,70167 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.754667,35.262407
81,58567 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.921563,35.218338
82,9957 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.218307,35.241309
83,18990 Al-Amal Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.354378,34.289083
84,8697 Al-Salam Street,Hebron,The State of Palestine,90100,The State of Palestine,31.54393,35.11156
85,82781 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.980692,35.148449
86,23194 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.284523,34.241793
87,66276 Shepherds Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.709556,35.227399
88,6711 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.706876,35.221334
89,217 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.451442,35.099874
90,5334 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.719867,35.213808
91,938 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.529452,35.15189
92,39816 Al-Wehda Street,Tubas,The State of Palestine,44838,The State of Palestine,32.329026,35.223816
93,38888 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.298497,34.24105
94,33199 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.343155,34.287635
95,4128 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.516454,35.061816
96,543 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.28494,34.235543
97,119 Al-Karameh Street,Jericho,The State of Palestine,90600,The State of Palestine,31.86431,35.458699
98,5067 Al-Amal Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.916511,35.214797
99,6947 Al-Irsal Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.908014,35.205892
100,050 School Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.526306,35.155171
101,9335 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.515328,35.06719
102,010 Azzun Street,Azzun,The State of Palestine,44846,The State of Palestine,32.18626,35.027983
103,05888 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.318298,35.027219
104,667 Shepherds Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.701878,35.225942
105,541 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.428027,34.354475
106,325 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.468069,35.08544
107,6128 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.465337,35.085658
108,842 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.537007,35.117855
109,6288 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.993438,35.133868
110,832 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.544502,34.52206
111,651 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.528698,34.501817
112,35969 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.84344,35.134519
113,538 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.316295,35.223771
114,677 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.526487,34.482352
115,4095 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.526405,34.490651
116,873 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.713568,35.200536
117,3786 Al-Quds Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.750899,35.266791
118,902 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.708505,35.209991
119,48054 Al-Wehda Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.986004,35.197928
120,612 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.532977,35.109292
121,1934 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.318113,35.020516
122,7278 Old City Street,Nablus,The State of Palestine,44839,The State of Palestine,32.224258,35.24059
123,5332 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.511063,35.06916
124,7403 Al-Quds Street,Yatta,The State of Palestine,90300,The State of Palestine,31.46902,35.084221
125,585 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.106936,35.103135
126,900 Al-Quds Street,Salfit,The State of Palestine,44837,The State of Palestine,32.105456,35.11887
127,933 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.420473,34.359456
128,22181 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.344531,34.2883
129,9587 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.752492,35.260305
130,1212 Al-Wehda Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.929076,35.226098
131,5170 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.544132,34.492061
132,9634 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.543567,34.513994
133,773 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.905731,35.202899
134,3665 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.46806,35.281816
135,5467 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.51037,35.069798
136,92344 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.840288,35.125463
137,873 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.906778,35.206573
138,281 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.535844,34.515117
139,82370 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.988996,35.136812
140,63245 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.525257,35.151718
141,3767 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.118454,35.117454
142,462 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.523364,34.481508
143,391 Paris Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.318935,35.010979
144,476 Huwaij Street,Nablus,The State of Palestine,44839,The State of Palestine,32.238464,35.240803
145,292 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.188563,35.023966
146,8171 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.750082,35.26907
147,33896 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.542533,34.49284
148,561 Paul VI Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.715953,35.216028
149,96250 Cremisan Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.719896,35.188031
150,18486 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.423976,34.352132
151,41496 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.707151,35.221868
152,888 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.520377,35.158726
153,8398 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.332654,35.016413
154,431 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.55889,34.542506
155,068 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.751979,35.264162
156,7429 Al-Quds Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.529172,34.482143
157,744 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.544095,34.497251
158,935 Rafidia Street,Nablus,The State of Palestine,44839,The State of Palestine,32.232965,35.267481
159,581 Hajja Street,Azzun,The State of Palestine,44846,The State of Palestine,32.181353,35.021508
160,728 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.523195,35.154485
161,8652 Al-Wehda Street,Dura,The State of Palestine,90200,The State of Palestine,31.516609,35.063831
162,4339 Al-Quds Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.558866,34.545402
163,1656 Baladya Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.334819,35.020673
164,528 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.461283,35.297184
165,727 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.545595,35.101768
166,31156 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.755996,35.266244
167,95453 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.295712,34.241364
168,284 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.844487,35.121509
169,5557 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.351064,34.299562
170,1365 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.181828,35.021741
171,4627 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.856809,35.440011
172,4588 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.288081,34.247946
173,321 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.101425,35.112311
174,207 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.994554,35.136567
